priority,artwork_label,asset,model_aliases,generation_aliases,body_hints,notes
420,Navara D23,assets/vehicles/nissan_navara_d23.webp,navara,d23,,
400,GT-R R35,assets/vehicles/nissan_gt_r_r35.webp,gt r|gtr,r35,,
400,GT-R R34,assets/vehicles/nissan_gt_r_r34.webp,gt r|gtr|skyline,r34|bnr34,,
400,GT-R R33,assets/vehicles/nissan_gt_r_r33.webp,gt r|gtr|skyline,r33|bcnr33,,
400,GT-R R32,assets/vehicles/nissan_gt_r_r32.webp,gt r|gtr|skyline,r32|bnr32,,
400,Navara D22,assets/vehicles/nissan_navara_d22.webp,navara|hardbody|pickup,d22,,
400,Navara D40,assets/vehicles/nissan_navara_d40.webp,navara,d40,,
350,350Z,assets/vehicles/nissan_350z.webp,350z,z33,,
350,370Z,assets/vehicles/nissan_370z.webp,370z,z34,,
350,Silvia S13,assets/vehicles/nissan_silvia_s13.webp,silvia,s13|ps13,,
350,Silvia S14,assets/vehicles/nissan_silvia_s14.webp,silvia|200sx,s14|cs14,,
350,Silvia S15,assets/vehicles/nissan_silvia_s15.webp,silvia,s15,,
350,180SX,assets/vehicles/nissan_180sx.webp,180sx,rps13|krps13|rs13,,
340,Fairlady Z Z33,assets/vehicles/nissan_fairlady_z_z33.webp,fairlady z|fairlady,z33|hz33,,
340,Fairlady Z Z34,assets/vehicles/nissan_fairlady_z_z34.webp,fairlady z|fairlady,z34|hz34,,
320,Skyline V35,assets/vehicles/nissan_skyline_v35.webp,skyline,v35|pv35|cpv35|nv35|hv35,,
320,Skyline V36,assets/vehicles/nissan_skyline_v36.webp,skyline,v36|pv36|kv36|ckv36|nv36,,
320,Skyline V37,assets/vehicles/nissan_skyline_v37.webp,skyline,v37|hv37|hnv37|yv37|zv37,,
320,Skyline V38,assets/vehicles/nissan_skyline_v38.webp,skyline,v38,,
300,X-Trail T30,assets/vehicles/nissan_x_trail_t30.webp,x trail|xtrail,t30,,
300,X-Trail T31,assets/vehicles/nissan_x_trail_t31.webp,x trail|xtrail,t31,,
300,X-Trail T32,assets/vehicles/nissan_x_trail_t32.webp,x trail|xtrail,t32|nt32|hnt32|ht32,,
300,X-Trail T33,assets/vehicles/nissan_x_trail_t33.webp,x trail|xtrail,t33|nt33|snt33,,
300,Murano Z50,assets/vehicles/nissan_murano_z50.webp,murano,z50|pz50|pnz50,,
300,Murano Z51,assets/vehicles/nissan_murano_z51.webp,murano,z51|tz51|tnz51|pnz51,,
300,Murano Z52,assets/vehicles/nissan_murano_z52.webp,murano,z52,,
300,Pathfinder R51,assets/vehicles/nissan_pathfinder_r51.webp,pathfinder,r51,,
300,Pathfinder R52,assets/vehicles/nissan_pathfinder_r52.webp,pathfinder,r52,,
300,Patrol Y60,assets/vehicles/nissan_patrol_y60.webp,patrol|safari,y60|gq,,
300,Patrol Y61,assets/vehicles/nissan_patrol_y61.webp,patrol|safari,y61|gu,,
300,Serena C24,assets/vehicles/nissan_serena_c24.webp,serena,c24|pc24|pnc24|tc24|tnc24,,
300,Serena C25,assets/vehicles/nissan_serena_c25.webp,serena,c25|cc25|nc25|cnc25,,
300,Serena C26,assets/vehicles/nissan_serena_c26.webp,serena,c26|fc26|fnc26|hc26|hnc26,,
300,Serena C27,assets/vehicles/nissan_serena_c27.webp,serena,c27|gc27|gfc27|hfc27,,
300,Elgrand E50,assets/vehicles/nissan_elgrand_e50.webp,elgrand,e50|ale50|alwe50|ape50|apwe50,,
300,Elgrand E51,assets/vehicles/nissan_elgrand_e51.webp,elgrand,e51|ne51|me51|mne51,,
300,Elgrand E52,assets/vehicles/nissan_elgrand_e52.webp,elgrand,e52|ne52|te52|tne52,,
260,NP300,assets/vehicles/nissan_np300.webp,np300,,,
260,Pulsar Hatch,assets/vehicles/nissan_pulsar_hatch.webp,pulsar,,hatch|hatchback,
260,Tiida Hatch,assets/vehicles/nissan_tiida_hatch.webp,tiida,,hatch|hatchback,
260,Versa Hatch,assets/vehicles/nissan_versa_hatch.webp,versa,,hatch|hatchback,
260,Sunny Hatch,assets/vehicles/nissan_sunny_hatch.webp,sunny,,hatch|hatchback,
260,Primera Wagon,assets/vehicles/nissan_primera_wagon.webp,primera,,wagon|estate,
250,Frontier,assets/vehicles/nissan_frontier.webp,frontier,,,
230,200SX Silvia,assets/vehicles/nissan_200sx_silvia.webp,200sx,,,
220,Skyline GT-R,assets/vehicles/nissan_skyline_gt_r.webp,skyline gt r|skyline gtr,,,
200,Almera,assets/vehicles/nissan_almera.webp,almera,,,
200,Altima,assets/vehicles/nissan_altima.webp,altima,,,
200,Bluebird,assets/vehicles/nissan_bluebird.webp,bluebird,,,
200,Cefiro,assets/vehicles/nissan_cefiro.webp,cefiro,,,
200,Cima,assets/vehicles/nissan_cima.webp,cima,,,
200,Fuga,assets/vehicles/nissan_fuga.webp,fuga,,,
200,Gloria,assets/vehicles/nissan_gloria.webp,gloria,,,
200,Laurel,assets/vehicles/nissan_laurel.webp,laurel,,,
200,Maxima,assets/vehicles/nissan_maxima.webp,maxima,,,
200,Primera,assets/vehicles/nissan_primera.webp,primera,,,
200,Pulsar,assets/vehicles/nissan_pulsar.webp,pulsar,,,
200,Sentra,assets/vehicles/nissan_sentra.webp,sentra,,,
200,Silvia Sedan,assets/vehicles/nissan_silvia_sedan.webp,silvia sedan,,,
200,Stanza,assets/vehicles/nissan_stanza.webp,stanza,,,
200,Sunny,assets/vehicles/nissan_sunny.webp,sunny,,,
200,Sylphy,assets/vehicles/nissan_sylphy.webp,sylphy|bluebird sylphy,,,
200,Teana,assets/vehicles/nissan_teana.webp,teana,,,
200,Tiida Sedan,assets/vehicles/nissan_tiida_sedan.webp,tiida|tiida latio|latio,,,
200,Versa,assets/vehicles/nissan_versa.webp,versa,,,
200,Vertex,assets/vehicles/nissan_vertex.webp,vertex,,,
200,Avenir Sedan,assets/vehicles/nissan_avenir_sedan.webp,avenir sedan,,,
200,Presea,assets/vehicles/nissan_presea.webp,presea,,,
200,Cedric,assets/vehicles/nissan_cedric.webp,cedric,,,
200,March Micra,assets/vehicles/nissan_march_micra.webp,march|micra,,,
200,Note,assets/vehicles/nissan_note.webp,note,,,
200,Tiida Hatch,assets/vehicles/nissan_tiida_hatch.webp,tiida hatch,,,
200,Pulsar Hatch,assets/vehicles/nissan_pulsar_hatch.webp,pulsar hatch,,,
200,Leaf,assets/vehicles/nissan_leaf.webp,leaf,,,
200,Juke,assets/vehicles/nissan_juke.webp,juke,,,
200,Kicks,assets/vehicles/nissan_kicks.webp,kicks,,,
200,Versa Hatch,assets/vehicles/nissan_versa_hatch.webp,versa hatch,,,
200,Sunny Hatch,assets/vehicles/nissan_sunny_hatch.webp,sunny hatch,,,
200,Silvia Hatch,assets/vehicles/nissan_silvia_hatch.webp,silvia hatch,,,
200,Prairie Hatch,assets/vehicles/nissan_prairie_hatch.webp,prairie|liberty,,,
200,Terrano,assets/vehicles/nissan_terrano.webp,terrano|mistral,,,
200,Avenir Wagon,assets/vehicles/nissan_avenir_wagon.webp,avenir,,,
200,Stagea,assets/vehicles/nissan_stagea.webp,stagea,,,
200,Wingroad,assets/vehicles/nissan_wingroad.webp,wingroad,,,
200,Primera Wagon,assets/vehicles/nissan_primera_wagon.webp,primera wagon,,,
200,Expert,assets/vehicles/nissan_expert.webp,expert,,,
200,AD Wagon,assets/vehicles/nissan_ad_wagon.webp,ad wagon|ad van|ad expert,,,
200,Lafesta,assets/vehicles/nissan_lafesta.webp,lafesta,,,
200,Quest,assets/vehicles/nissan_quest.webp,quest,,,
200,Titan,assets/vehicles/nissan_titan.webp,titan,,,
200,NV200,assets/vehicles/nissan_nv200.webp,nv200,,,
200,NV350 Caravan,assets/vehicles/nissan_nv350_caravan.webp,nv350|caravan|homy,,,
200,Vanette,assets/vehicles/nissan_vanette.webp,vanette,,,
200,Atlas,assets/vehicles/nissan_atlas.webp,atlas|condor,,,
200,Civilian,assets/vehicles/nissan_civilian.webp,civilian,,,
